exp_dir,aggregator,alpha,adv_percent,mu,seed,attack_mode,round,macro_f1,macro_f1_val,n_test_total,config_key
dsedge-iiotset-full_comp_fedavg_alpha0.5_adv20_dp0_pers0_mu0.0_modesign_flip_topk_seed49_datasetedge-iiotset-full,fedavg,0.5,20,0.0,49,sign,20,0.2529574454507131,,306570,fedavg_alpha0.5_adv20_mu0.0
dsedge-iiotset-full_comp_median_alpha1.0_adv10_dp0_pers0_mu0.0_seed60_datasetedge-iiotset-full,median,1.0,10,0.0,60,none,20,0.5819465771400485,,306570,median_alpha1.0_adv10_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.05_adv30_dp0_pers0_mu0.0_seed60_datasetedge-iiotset-full,krum,0.05,30,0.0,60,none,20,0.1127877110424753,,306571,krum_alpha0.05_adv30_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.5_adv30_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,krum,0.5,30,0.0,59,none,20,0.4679525679092456,,306571,krum_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_bulyan_alphainf_adv10_dp0_pers0_mu0.0_seed47_datasetedge-iiotset-full,bulyan,inf,10,0.0,47,none,20,0.6436230142102526,,306570,bulyan_alphainf_adv10_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_modesign_flip_topk_seed50_datasetedge-iiotset-full,median,0.5,30,0.0,50,sign,20,0.3075434963548657,,306569,median_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.1_adv20_dp0_pers0_mu0.0_seed53_datasetedge-iiotset-full,krum,0.1,20,0.0,53,none,20,0.2746824142080386,,306571,krum_alpha0.1_adv20_mu0.0
dsedge-iiotset-full_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_modetargeted_label_seed46_datasetedge-iiotset-full,median,0.5,30,0.0,46,targeted,20,0.5528664710123963,,306568,median_alpha0.5_adv30_mu0.0
dsedge-iiotset-full_comp_krum_alpha1.0_adv20_dp0_pers0_mu0.0_seed44_datasetedge-iiotset-full,krum,1.0,20,0.0,44,none,20,0.6052458024821619,,306570,krum_alpha1.0_adv20_mu0.0
dsedge-iiotset-full_comp_median_alpha0.02_adv30_dp0_pers0_mu0.0_seed58_datasetedge-iiotset-full,median,0.02,30,0.0,58,none,20,0.0837519490936498,,306570,median_alpha0.02_adv30_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.2_adv0_dp0_pers0_mu0.0_seed51_datasetedge-iiotset-full,bulyan,0.2,0,0.0,51,none,20,0.6439217514944627,,306571,bulyan_alpha0.2_adv0_mu0.0
dsedge-iiotset-full_comp_median_alpha1.0_adv10_dp0_pers0_mu0.0_seed57_datasetedge-iiotset-full,median,1.0,10,0.0,57,none,20,0.559852795016006,,306571,median_alpha1.0_adv10_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.05_adv30_dp0_pers0_mu0.0_seed57_datasetedge-iiotset-full,krum,0.05,30,0.0,57,none,20,0.1187295543748255,,306570,krum_alpha0.05_adv30_mu0.0
dsedge-iiotset-full_comp_fedavg_alphainf_adv10_dp0_pers0_mu0.0_seed43_datasetedge-iiotset-full,fedavg,inf,10,0.0,43,none,20,0.0958724754312542,,306570,fedavg_alphainf_adv10_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.02_adv20_dp0_pers0_mu0.0_seed45_datasetedge-iiotset-full,krum,0.02,20,0.0,45,none,20,0.1838077846261019,,306570,krum_alpha0.02_adv20_mu0.0
dsedge-iiotset-full_comp_fedprox_alphainf_adv20_dp0_pers0_mu0.01_modelabel_flip_seed45_datasetedge-iiotset-full,fedprox,inf,20,0.01,45,label,20,0.5648330271310009,,306570,fedprox_alphainf_adv20_mu0.01
dsedge-iiotset-full_comp_krum_alphainf_adv30_dp0_pers0_mu0.0_seed61_datasetedge-iiotset-full,krum,inf,30,0.0,61,none,20,0.4826482425707223,,306570,krum_alphainf_adv30_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.01_modenone_seed45_datasetedge-iiotset-full,krum,0.5,0,0.01,45,none,20,0.6651028965566863,,306571,krum_alpha0.5_adv0_mu0.01
dsedge-iiotset-full_comp_median_alpha0.2_adv10_dp0_pers0_mu0.0_seed58_datasetedge-iiotset-full,median,0.2,10,0.0,58,none,20,0.6122481967654204,,306570,median_alpha0.2_adv10_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.0_seed48_datasetedge-iiotset-full,bulyan,0.5,10,0.0,48,none,20,0.6464305121319025,,306569,bulyan_alpha0.5_adv10_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha1.0_adv10_dp0_pers0_mu0.1_modegrad_ascent_seed45_datasetedge-iiotset-full,bulyan,1.0,10,0.1,45,grad,20,0.4824481398266735,,306570,bulyan_alpha1.0_adv10_mu0.1
dsedge-iiotset-full_comp_krum_alphainf_adv30_dp0_pers0_mu0.0_seed56_datasetedge-iiotset-full,krum,inf,30,0.0,56,none,20,0.4525761920495761,,306570,krum_alphainf_adv30_mu0.0
dsedge-iiotset-full_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed49_datasetedge-iiotset-full,bulyan,0.5,0,0.0,49,none,20,0.6641031159261541,,306570,bulyan_alpha0.5_adv0_mu0.0
dsedge-iiotset-full_comp_krum_alpha0.5_adv30_dp0_pers0_mu0.01_modelabel_flip_seed45_datasetedge-iiotset-full,krum,0.5,30,0.01,45,label,20,0.355341594885868,,306571,krum_alpha0.5_adv30_mu0.01
dsedge-iiotset-full_comp_fedprox_alpha1.0_adv30_dp0_pers0_mu0.05_modetargeted_label_seed44_datasetedge-iiotset-full,fedprox,1.0,30,0.05,44,targeted,20,0.4762205173140549,,306570,fedprox_alpha1.0_adv30_mu0.05
