slice,n_runs,n_seeds,metric_mean,ci_low,ci_high,reliability_grade,dataset,aggregation,adv_percent,attack_mode,alpha,fedprox_mu
fedprox_nonzero_mu,5,5,0.36710926070968475,0.3112744172532373,0.4229441041661322,B,cic,,,,0.1,0.005
fedprox_nonzero_mu,5,5,0.3288051880049781,0.26115197950682373,0.39645839650313247,B,cic,,,,0.1,0.01
fedprox_nonzero_mu,6,5,0.3176351786656027,0.26017572113860205,0.37509463619260336,B,cic,,,,0.1,0.02
fedprox_nonzero_mu,5,5,0.27298427853507634,0.20134091781819624,0.34462763925195644,B,cic,,,,0.1,0.05
fedprox_nonzero_mu,5,5,0.252992712000109,0.19958799221172135,0.3063974317884966,B,cic,,,,0.1,0.08
fedprox_nonzero_mu,5,5,0.24418770759707709,0.19493571380490918,0.293439701389245,B,cic,,,,0.1,0.1
fedprox_nonzero_mu,5,5,0.2291252422704312,0.17943742744568167,0.2788130570951808,B,cic,,,,0.1,0.2
fedprox_nonzero_mu,8,8,0.18682249634149917,0.14712040363871326,0.22652458904428507,B,cic,,,,0.1,1.0
fedprox_nonzero_mu,5,5,0.4236447032343083,0.40352476318971375,0.44376464327890286,B,cic,,,,0.2,0.002
fedprox_nonzero_mu,6,5,0.38036815223166603,0.3708217540888092,0.3899145503745229,B,cic,,,,0.2,0.005
fedprox_nonzero_mu,5,5,0.3368676796490529,0.3142396824539688,0.35949567684413697,B,cic,,,,0.2,0.01
