run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
cic_simple_0a883bb266_comp_bulyan_alpha0.05_adv10_dp0_pers0_mu0.0_seed49,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0a8e8ac1de_comp_median_alpha0.5_adv30_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0a9687b2fa_comp_fedavg_alpha0.2_adv10_dp0_pers0_mu0.0_seed51,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0a9b665109_comp_krum_alpha0.2_adv10_dp0_pers0_mu0.0_seed53,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0a9d7a3de6_comp_krum_alpha0.05_adv20_dp0_pers0_mu0.0_seed47,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0a9f6eed83_comp_bulyan_alphainf_adv10_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0ac440d046_comp_median_alphainf_adv30_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0acb839b30_comp_fedavg_alpha0.2_adv20_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0ae140e1ff_comp_bulyan_alpha0.5_adv10_dp0_pers0_mu0.0_seed58,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0aea02a9d9_comp_median_alphainf_adv20_dp0_pers0_mu0.0_seed60,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0aefeb22d7_comp_krum_alpha0.5_adv30_dp0_pers0_mu0.0_seed48,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0b05eba765_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0b0ba82393_comp_fedprox_alpha0.2_adv0_dp0_pers0_mu0.01_seed46,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0b27a04abd_comp_krum_alpha0.1_adv20_dp0_pers0_mu0.0_seed57,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0b51bbbdc4_comp_krum_alpha0.2_adv30_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0b63d70ade_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.0_seed60,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0b6d96b59e_comp_median_alpha0.2_adv0_dp0_pers0_mu0.0_seed53,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0b96f27713_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.005_seed44,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0ba050c4c3_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.5_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0bb0f50b3e_comp_median_alpha0.05_adv20_dp0_pers0_mu0.0_seed60,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0bc5a38112_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.01_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0bcfe9f506_comp_bulyan_alpha0.2_adv10_dp0_pers0_mu0.0_seed57,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0be0ecaa39_comp_krum_alpha0.05_adv20_dp0_pers0_mu0.0_seed57,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0bff4bc408_comp_median_alpha0.2_adv10_dp0_pers0_mu0.0_seed48,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0c02fb8c8b_comp_median_alpha0.2_adv20_dp0_pers0_mu0.0_seed49,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0c050e7398_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.08_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0c1f82a7a6_comp_fedavg_alpha0.05_adv20_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0c4de4f4a7_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.05_seed42,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0c6e624657_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0c72b48206_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0c9b05808c_comp_fedavg_alpha0.02_adv10_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0ca0dd3ac2_comp_fedprox_alpha0.5_adv0_dp0_pers0_mu0.01_seed43,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0cb1f97e8b_comp_fedavg_alpha0.02_adv10_dp0_pers0_mu0.0_seed53,complete_or_exceeds_target,20.0,20,cic,fedavg
