run_id,canonical_run_id,is_canonical,canonical_key_id,duplicate_group_size,dataset,aggregation,alpha,adv_percent,attack_mode,fedprox_mu,seed,quality_state,quality_rank,max_round,parsed_row_count
dsedge-iiotset-full_comp_krum_alpha0.02_adv20_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,dsedge-iiotset-full_comp_krum_alpha0.02_adv20_dp0_pers0_mu0.0_seed59_datasetedge-iiotset-full,True,5fc5adff9a2c,1,edge-iiotset-full,krum,0.02,20.0,none,0.0,59.0,complete_or_exceeds_target,0,20.0,20
cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,True,5fc94beb6814,6,cic,krum,1.0,0.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
cic_simple_6653804f2a_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,False,5fc94beb6814,6,cic,krum,1.0,0.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
cic_simple_9ee4d9e20f_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,False,5fc94beb6814,6,cic,krum,1.0,0.0,none,0.0,42.0,complete_or_exceeds_target,0,15.0,15
comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42_datasetcic,cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,False,5fc94beb6814,6,cic,krum,1.0,0.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_n10_r20_modenone_seed42_datasetcic,cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,False,5fc94beb6814,6,cic,krum,1.0,0.0,none,0.0,42.0,complete_or_exceeds_target,0,20.0,20
dscic_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_n6_r15_modenone_seed42_datasetcic,cic_simple_6d021045e1_comp_krum_alpha1.0_adv0_dp0_pers0_mu0.0_seed42,False,5fc94beb6814,6,cic,krum,1.0,0.0,none,0.0,42.0,complete_or_exceeds_target,0,15.0,15
unsw_simple_2a69dbc3c6_comp_median_alphainf_adv30_dp0_pers0_mu0.0_seed42,unsw_simple_2a69dbc3c6_comp_median_alphainf_adv30_dp0_pers0_mu0.0_seed42,True,5fd07cbbd201,1,unsw,median,inf,30.0,grad_ascent,0.0,42.0,complete_or_exceeds_target,0,20.0,20
unsw_simple_b5d43ca7cd_comp_krum_alphainf_adv30_dp0_pers0_mu0.0_seed52_srccic,unsw_simple_b5d43ca7cd_comp_krum_alphainf_adv30_dp0_pers0_mu0.0_seed52_srccic,True,5fd094986e42,1,unsw,krum,inf,30.0,sign_flip_topk,0.0,52.0,complete_or_exceeds_target,0,20.0,20
dsmixed_silo_3dataset_p63468e09_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu1.0_seed62_datasetmixed_silo_3dataset,dsmixed_silo_3dataset_p63468e09_comp_fedavg_alpha1.0_adv0_dp0_pers0_mu1.0_seed62_datasetmixed_silo_3dataset,True,5fd54f415910,1,mixed_silo_3dataset,fedavg,1.0,0.0,none,1.0,62.0,truncated_before_target,1,1.0,1
